"RegionName","City","State","Metro","CountyName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Bernal Heights","San Francisco","CA","San Francisco","San Francisco",3.8889,2.1622,5.8201,9.8446,8.7156,8.0189,5.4054,8.1301,7.9051,10.6122,9.0909,6.7797,7.8838,8.0645,9.4488,7.0313,6.9597,7.5697,7.6613,7.1713,7.8838,6.1404,4.5249,3.2558,4.0909,4.5872,5.0691,3.1818,2.6432,2.8169,2.1277,3.7634,3.5714,2.5806,2.8777,4.2373,6.4935,2.4691,4.8193,0.9091,0.813,3.2,3.0769,3.3898,2.9126,4.1237,1.3333,1.3514,1.2821,4.8193,7.8652,8.3333,10.6383,8.3333,6.5217,7.2727,5.1724,1.8018,3.1579
"Aliamanu-Salt Lake-Foster Village","Honolulu","HI","Honolulu","Honolulu",9.1667,5.8824,5.6,11.811,8.871,8.8,8.1081,11.811,13.6691,11.2676,11.6438,10,11.2676,9.0909,14.7059,12.4324,11.9048,13.6792,16.5138,20,18.6275,11.8182,8.2969,7.6923,8.9431,11.4679,12.3077,8.6294,6.5934,11.9318,7.6023,6.4706,6.7073,3.6145,3.5714,3.937,5.7143,6.7961,9.901,6.7961,4.4643,5.5556,6.8376,9.7561,12.037,11.3043,9.6491,8.547,12.5,11.3821,7.9365,7.438,5.4264,2.8369,4.5113,4.7244,3.876,6.6667,7.5472
"University District","Seattle","WA","Seattle","King",3.8462,14.2857,19.6078,20,17.5676,23.5294,21.978,18.0851,17.8947,14.433,13.253,9.7222,9.2308,4.0541,10.9375,10.1449,9.7222,12.0482,11.1111,15.1899,18.1818,16.25,15.7143,16.129,13.7931,12.069,14.5455,7.6923,5,5.1724,7.1429,16.129,20.3125,20.9677,18.9655,11.1111,8.8889,,,11.1111,10.2941,7.8125,9.589,7.2464,4.918,1.7544,,2.439,2.5,10,11.3636,11.3208,7.0175,7.6923,3.1746,4.7619,6.3492,4.918,5.5556
"College Point","New York","NY","New York","Queens",5.5,6.9869,9.6491,11.5226,12.2449,10.9756,6.6667,9.1633,10.8614,9.7378,9.0909,9.0909,7.1713,8.8889,8.5409,9.4737,12.5424,12.0438,12.6984,15.2648,11.7284,9.5385,7.8689,6.689,6.0201,4.902,5.7627,7.4675,8.3086,7.4919,8.3893,6.6914,5.3279,5.1948,3.7037,8.2927,5.0562,8.0808,7.027,6.7708,7.027,5.5215,5.5172,2.963,5,7.3394,9.7826,8.4211,9.322,6.6176,8.1481,13.1034,14.2857,15.873,17.5,12.7119,17.2414,9.9099,8.6538
"Paradise Hills","Albuquerque","NM","Albuquerque","Bernalillo",18.5687,19.5255,23.0337,22.2846,23.75,22.6876,18.4433,18.6414,19.8225,17.9676,15.8307,15.6589,14.2643,16.3889,15.4681,16.5278,18.4555,17.59,16.6209,19.1136,19.2416,17.4855,14.554,11.4105,12.3418,10.8896,10.423,12.188,14.2857,14.4737,17.2727,16.0116,14.9031,14.7745,12.9784,14.8214,16.4835,17.6339,20.7627,22.547,22.2664,23.7911,26.1364,27.4286,28.3495,24.6154,24.5763,20.2929,19.6203,19.877,25.4737,25.8586,28.2908,29.4347,28.9134,30.4673,29.8279,28.4569,24.7312
"Spring Branch East","Houston","TX","Houston","Harris",7.4713,10.2273,16.5775,18.3575,18.8073,19.5556,15.5172,17.3554,18.2203,19.0045,15.6566,16.7513,16.6667,18.5366,17.7489,16.6667,17.0306,19.0045,18.3857,16.8182,19.9074,17.0616,14.2157,11.4833,10.1382,10.8108,11.4035,9.9138,15.7658,15.8654,21.1055,20.6186,19.2513,20.3488,11.6564,5.5556,7.4286,6.3953,7.6923,7.5377,7.6555,7.2115,7.3394,13.3663,12.5604,11.9617,8.8083,8.8542,5.8252,3.4483,4.5643,6.2731,8.6331,11.3074,14.6617,15.2985,13.1944,12.5424,15.1203
"Clairemont Mesa East","San Diego","CA","San Diego","San Diego",5.7416,4.8077,8.1818,8.6777,13.8462,17.9487,18.4669,17.5497,20.3279,19,21.3816,19.5513,17.3375,16.1017,13.7536,13.079,14.6465,13.5638,13.8667,16.1125,15.903,16.0622,14.4772,12.766,12.3656,9.7035,7.4928,8.5366,6.3694,8.4175,8.8652,7.2519,6.7416,7.7519,8.1081,5.5,6.0241,5.4545,3.9216,3.871,7.1856,7.0588,8.046,14.2045,13.2184,13.7143,11.7284,14.6497,11.4286,15.942,19.1781,17.9191,17.0213,22.9592,25.5102,22.6744,19.8758,16.6667,12.8571
"West Valley","Boise","ID","Boise City","Ada",16.1871,17.931,18.3442,19.3038,18.9681,19.9095,16.6667,19.7227,17.1994,13.5093,13.7353,15.8703,16.0256,14.1985,12.5189,10.303,9.2179,9.8097,8.8359,9.1822,8.3841,7.3836,5.4867,4.9541,6.2257,7.6763,7.611,7.3434,7.5949,8.952,11.8451,11.6631,12.3932,11.4865,8.5427,8.6957,12.4,12.1094,12.5984,13.0742,16.7183,22,23.0263,28.9116,31.1419,29.2096,28.626,24.5059,23.9316,18.5345,25.0996,23.6066,22.9358,25.0746,28.125,29.2899,32.9268,28.2675,19.0323
"Laurelton","New York","NY","New York","Queens",4.7872,5.2219,5.8047,6.6838,4.6036,4.3147,3.4739,5.5961,6.7599,6.7916,8.1535,5.2897,4.1667,4.7619,5.5096,6.1798,7.2973,6.0302,5.9102,6.9977,5.9794,6.2167,4.7203,5.3156,5.873,5.3628,5.8176,5.8209,5.2632,5.6575,6.01,7.0547,5.1188,4.845,4.3651,3.7849,4.7264,4.3689,4.7035,4.7081,6.6071,5.3973,4.0928,3.2982,3.9568,4.436,3.8945,3.3682,2.6018,2.5349,3.2303,3.7572,4.8154,5.835,7.4074,6.5611,6.0403,5.383,3.7694
"Westgate Hts","Albuquerque","NM","Albuquerque","Bernalillo",14.6939,14.6617,15.8915,15.8491,18.4028,19.3038,21.2025,20.4819,16.5468,14.3836,11.5813,11.6832,11.9181,13.2979,12.8696,11.9266,11.6279,9.9291,10.0746,9.6085,9.8182,9.7656,9.5918,10.625,9.4567,9.5327,8.229,7.6522,7.047,7.3345,10.0917,9.894,11.6541,11.9284,11.9469,11.9289,23.301,18.4466,24.6154,19.898,18.2266,20.7254,23.4375,25,22.6131,20.7547,21.1055,22.3881,19.1919,21.5789,19.0722,20,17.801,20,25.6545,24.2268,20.6186,18.1373,18.1373
