"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Sunset Heights","WI","Milwaukee","Milwaukee","Milwaukee",2286,105100,0.00382043935052531,0.0144787644787645,-0.00567644276253548,-0.0413377973236991,-0.0239271924789726,"2008-02","2008-Q1",158500,-0.336908517350158,"2002-07"
2014-12-31,"Madison Park","WA","Seattle","King","Seattle",2287,1004800,0.00550385269688782,0.0180344478216819,0.0665534444326505,0.0449488947022256,0.0334468039343176,"2014-12","2014-Q4",1004800,0,"2014-12"
2014-12-31,"Rockwell Park-Hemphill Heights","NC","Charlotte","Mecklenburg","Charlotte",2288,109800,-0.000909918107370337,0.0101195952161913,0.0223463687150838,-0.00765350717171087,-0.0104807417937856,"2007-03","2007-Q1",130900,-0.161191749427044,"2000-03"
2014-12-31,"Ellwanger-Barry","NY","Rochester","Monroe","Rochester",2289,118700,0.00764006791171477,0.0153977758768178,0.0569902048085485,0.0320067854556789,0.0370499551317716,"2014-12","2014-Q4",118700,0,"2014-12"
2014-12-31,"Northwood Point","CA","Los Angeles","Orange","Irvine",2290,818300,-0.00401655306718598,-0.0174111431316042,-0.180142270313596,-0.00213703112346664,-0.0206141621757598,"2006-04","2006-Q2",1118500,-0.268395172105498,"2004-02"
2014-12-31,"Fallstaff","MD","Baltimore","Baltimore City","Baltimore",2291,120600,-0.0139002452984464,-0.0226904376012966,0.0316509837467921,-0.0212894743154348,0.0229688090645352,"2008-02","2008-Q1",170100,-0.291005291005291,"2005-08"
2014-12-31,"Emerald Hills","CA","San Diego","San Diego","San Diego",2292,353400,0.0158091405576315,0.042170451194338,0.138897840799227,0.120815716745147,-0.0108412182116475,"2006-04","2006-Q2",438900,-0.194805194805195,"2004-06"
2014-12-31,"University Gardens","NY","New York","Nassau","Great Neck",2293,776900,0.0043956043956044,0.0126433785192909,0.0548540393754243,0.0428093450283236,0.0102469643178673,"2014-12","2014-Q4",776900,0,"2014-12"
2014-12-31,"North Riverdale","OH","Dayton","Montgomery","Dayton",2294,37300,0,-0.0132275132275132,-0.118203309692671,-0.065008493458707,-0.0574489240386281,"2007-05","2007-Q2",70100,-0.467902995720399,
2014-12-31,"View Ridge","WA","Seattle","King","Seattle",2295,667700,0.00648176062707266,0.016131486836098,0.0363184851777122,0.0428278594618823,0.0348787438866802,"2014-12","2014-Q4",667700,0,"2014-12"
2014-12-31,"Banksville","PA","Pittsburgh","Allegheny","Pittsburgh",2296,134000,0.00224382946896036,0.0113207547169811,0.0428015564202335,0.0317727085345021,0.0281675088871254,"2014-12","2014-Q4",134000,0,"2014-12"
2014-12-31,"Lincoln-Lemington-Belmar","PA","Pittsburgh","Allegheny","Pittsburgh",2297,45100,0,-0.0152838427947598,-0.173992673992674,-0.0160488524827966,0.0047795990992956,"2013-07","2013-Q3",55300,-0.184448462929476,"2007-12"
2014-12-31,"East Westwood","OH","Cincinnati","Hamilton","Cincinnati",2298,41800,-0.00947867298578199,-0.0752212389380531,-0.241379310344828,-0.0502795200030804,-0.0518662004199356,"2006-08","2006-Q3",73600,-0.432065217391304,
2014-12-31,"Fairoaks","FL","Tampa","Hillsborough","Tampa",2299,108300,0.00370713623725672,0.0121495327102804,0.113052415210689,0.0311516677519204,,"2006-10","2006-Q4",219400,-0.506381039197812,
2014-12-31,"Old Hill","MA","Springfield","Hampden","Springfield",2300,82100,-0.00484848484848485,-0.00965018094089264,0.0135802469135802,-0.0146780029155381,-0.00108966501726537,"2008-02","2008-Q1",99900,-0.178178178178178,"2004-11"
2014-12-31,"Berkleigh","AL","Mobile","Mobile","Mobile",2301,142500,0.00564573041637262,0.0229720028715004,0.00352112676056338,-0.0194438576214041,0.00453199918511604,"2008-06","2008-Q2",195200,-0.269979508196721,"2005-05"
2014-12-31,"Streeterville","IL","Chicago","Cook","Chicago",2302,325000,-0.0058121749770572,-0.0148529857532586,-0.0327380952380952,-0.0201390722405874,0.0150151697169914,"2009-06","2009-Q2",386800,-0.159772492244054,"2008-04"
2014-12-31,"Jordan Park - Laurel Heights","CA","San Francisco","San Francisco","San Francisco",2303,2154400,0.00621176031012096,0.00691718078145448,0.153936797000536,0.0865016550393323,0.0472468280081053,"2014-12","2014-Q4",2154400,0,"2014-12"
2014-12-31,"Wallhaven","OH","Akron","Summit","Akron",2304,112000,0.0026857654431513,0.0135746606334842,0.0496719775070291,-0.00509961529706771,-0.0156228294303719,"2005-01","2005-Q1",131600,-0.148936170212766,"2000-04"
2014-12-31,"Union Station","CO","Denver","Denver","Denver",2305,476000,0.00634249471458774,0.0208020587604546,0.0805902383654938,0.0290004052891624,0.022618904237683,"2014-12","2014-Q4",476000,0,"2014-12"
2014-12-31,"40th & A","NE","Lincoln","Lancaster","Lincoln",2306,125400,0.0032,0.0121065375302663,0.0582278481012658,0.0158809586113515,0.0111846491910128,"2014-12","2014-Q4",125400,0,"2014-12"
2014-12-31,"East Merrimack","NH","Manchester","Hillsborough","Merrimack",2307,143800,0.00418994413407821,0.00629811056682995,-0.0533245556287031,-0.0172858974429755,-0.0225825836373492,"2005-08","2005-Q3",190200,-0.243953732912723,"2002-09"
2014-12-31,"Sardis Woods","NC","Charlotte","Mecklenburg","Charlotte",2308,178300,0,0.00224845418774592,0.0657501494321578,0.0140323699976257,0.0199777585183798,"2014-12","2014-Q4",178300,0,"2014-12"
