"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-12-31,"Pipers Meadow","TX","San Antonio","Bexar","San Antonio",3273,1063,0,-0.0083955223880597,0.0360623781676413,877
2014-12-31,"McGovern Park","WI","Milwaukee","Milwaukee","Milwaukee",3274,891,-0.0165562913907285,-0.0670157068062827,-0.0795454545454545,967
2014-12-31,"Kirkman South","FL","Orlando","Orange","Orlando",3275,953,0.00846560846560847,0.0170757737459979,0.0495594713656388,939
2014-12-31,"Village 12","CA","Sacramento","Sacramento","Sacramento",3276,1672,0.002999400119976,0.0182704019488429,0.0443472829481574,1160
2014-12-31,"West University","AZ","Tucson","Pima","Tucson",3277,1180,-0.00169204737732657,0.000848176420695505,0.028770706190061,558
2014-12-31,"Virginia Ave","KY","Lexington","Fayette","Lexington",3278,852,-0.00117233294255569,0.0130796670630202,-0.0262857142857143,572
2014-12-31,"Southern Orchards","OH","Columbus","Franklin","Columbus",3279,694,-0.00715307582260372,-0.00998573466476462,-0.00998573466476462,1196
2014-12-31,"Lewelling","OR","Portland","Clackamas","Milwaukie",3280,1507,0.00533689126084056,0.0114093959731544,0.0450762829403606,1227
2014-12-31,"Quail Hollow","NC","Charlotte","Mecklenburg","Charlotte",3281,1511,0.00666222518321119,0.0195681511470985,0.061841180604357,1682
2014-12-31,"Emerald Estates","CA","Bakersfield","Kern","Bakersfield",3282,1563,0.00256574727389352,0.00643915003219575,-0.00509229789942712,1356
2014-12-31,"Columbia","WA","Bellingham","Whatcom","Bellingham",3283,1361,-0.00656934306569343,0.00591278640059128,0.000735294117647059,1570
2014-12-31,"Curtis Bay","MD","Baltimore","Baltimore City","Baltimore",3284,1086,-0.00549450549450549,-0.0118289353958144,-0.0448548812664908,1512
2014-12-31,"University","CA","Riverside","San Bernardino","San Bernardino",3285,1122,0.0035778175313059,-0.0131926121372032,-0.0603015075376884,768
2014-12-31,"Eastmont Hills","CA","San Francisco","Alameda","Oakland",3286,2130,-0.000938086303939962,0.00471698113207547,0.117523609653725,1235
2014-12-31,"Downtown","UT","Salt Lake City","Salt Lake","Salt Lake City",3287,1475,0.0228848821081831,0.0649819494584837,0.0917838638045892,1289
2014-12-31,"Shafter","CA","San Francisco","Alameda","Oakland",3288,3392,0.00503703703703704,0.0313165095773791,0.317793317793318,794
2014-12-31,"Menomonee River Hills East","WI","Milwaukee","Milwaukee","Milwaukee",3289,1093,0.00367309458218549,0.0262910798122066,0.00459558823529412,560
2014-12-31,"Jackson Heights","AL","Mobile","Mobile","Mobile",3290,933,0.0032258064516129,-0.00426894343649947,0.0032258064516129,911
2014-12-31,"South Wedge","NY","Rochester","Monroe","Rochester",3291,1207,0.00751252086811352,0.0211505922165821,0.192687747035573,484
2014-12-31,"Oakdale South","NC","Charlotte","Mecklenburg","Charlotte",3292,1016,-0.00294406280667321,-0.0078125,-0.00684261974584555,1862
2014-12-31,"Edgemoor","FL","Tampa","Pinellas","Saint Petersburg",3293,1166,0.00344234079173838,0.0219106047326906,0.06,1304
2014-12-31,"Washington Square","CA","Los Angeles","Orange","Santa Ana",3294,2255,-0.0212673611111111,-0.0773322422258592,-0.0473172792564428,674
2014-12-31,"Seward Park","WA","Seattle","King","Seattle",3295,2464,0.00735895339329518,0.0135746606334842,0.0888201502430402,1123
2014-12-31,"South Kilbourne","SC","Columbia","Richland","Columbia",3296,916,0.00328587075575027,0.0177777777777778,0.0776470588235294,1474
2014-12-31,"Hilliard Green","OH","Columbus","Franklin","Columbus",3297,893,-0.00445930880713489,-0.0356371490280778,-0.0143487858719647,1338
2014-12-31,"Wasatch Hollow","UT","Salt Lake City","Salt Lake","Salt Lake City",3298,1507,-0.0195185426154847,-0.08832425892317,-0.033974358974359,1253
2014-12-31,"NE - Sterling","CA","Riverside","San Bernardino","San Bernardino",3299,1384,0,-0.00216294160057678,-0.0177430801987225,1166
2014-12-31,"Ward Parkway","MO","Kansas City","Jackson","Kansas City",3300,1351,-0.0117044623262619,-0.00661764705882353,0.019622641509434,1584
2014-12-31,"Memorial Heights","TX","San Antonio","Bexar","San Antonio",3301,854,-0.00697674418604651,-0.0104287369640788,0.020310633213859,573
2014-12-31,"Plymouth - Exchange","NY","Rochester","Monroe","Rochester",3302,860,0.0105757931844888,0.0082063305978898,0.0225921521997622,613
2014-12-31,"Great Neck Estates","NY","New York","Nassau","Great Neck",3303,5477,-0.0219642857142857,-0.0283838921412099,-0.0136862956960202,830
2014-12-31,"Westchester","NC","Charlotte","Mecklenburg","Charlotte",3304,886,0,0.00339750849377123,0.0326340326340326,1088
2014-12-31,"West Gate","TX","Austin","Travis","Austin",3305,1834,0.00493150684931507,0.0200222469410456,0.0582804385458742,734
2014-12-31,"Hedrick Acres","AZ","Tucson","Pima","Tucson",3306,826,-0.00241545893719807,-0.0178359096313912,-0.0327868852459016,718
2014-12-31,"MLK Park","NY","Buffalo","Erie","Buffalo",3307,805,0.0087719298245614,0.0481770833333333,0.143465909090909,410
2014-12-31,"Blendon Woods","OH","Columbus","Franklin","Columbus",3308,1489,0.00269360269360269,0.0184678522571819,0.0750902527075812,1340
2014-12-31,"Bluemound Heights","WI","Milwaukee","Milwaukee","Milwaukee",3309,1099,-0.00632911392405063,-0.00181653042688465,0.0516746411483254,817
2014-12-31,"North Star","AK","Anchorage","Anchorage","Anchorage",3310,1801,-0.00771349862258953,-0.0634425377015081,0.00896358543417367,592
2014-12-31,"Hudson","CA","Riverside","San Bernardino","San Bernardino",3311,1385,0.00727272727272727,0.0153958944281525,0.0131675201170446,790
2014-12-31,"Hillside Morningside","TX","Dallas-Fort Worth","Tarrant","Fort Worth",3312,880,0.00801832760595647,0.0161662817551963,0.0771113831089351,988
2014-12-31,"Colonial Village","CA","Sacramento","Sacramento","Sacramento",3313,1162,-0.00171821305841924,0.0255957634598411,0.0641025641025641,1012
2014-12-31,"Centennial Park","CA","Los Angeles","Orange","Santa Ana",3314,2270,-0.00131984161900572,0.00265017667844523,0.0211426000899685,730
2014-12-31,"Park Circle","MD","Baltimore","Baltimore City","Baltimore",3315,1253,0.0024,0.0153970826580227,0.0363937138130687,1019
2014-12-31,"Oakdale","ME","Portland","Cumberland","Portland",3316,1761,0.0120689655172414,0.0790441176470588,0.0614828209764919,487
2014-12-31,"East Community Team North","MO","Kansas City","Jackson","Kansas City",3317,639,0.00313971742543171,-0.0015625,0.0126782884310618,1236
2014-12-31,"Olde Whitehall","NC","Charlotte","Mecklenburg","Charlotte",3318,1187,0.00678541136556404,0.0223944875107666,0.0357766143106457,873
